代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
603231,索宝蛋白,16.040,17.0,刚启动(拉升初期),9.54,74.62,-0.022,0.1178,1.0338,0.9208,0.4
001366,播恩集团,12.340,19.8,刚启动(拉升初期),11.91,74.47,-0.1626,0.1727,1.4323,0.8952,1.0
688137,近岸蛋白,77.420,54.1,刚启动(拉升初期),32.74,74.42,0.8431,1.2641,1.4807,0.8638,1.0
002129,TCL中环,9.520,384.6,刚启动(拉升初期),8.62,74.39,0.0,0.1181,1.0711,0.9275,0.4
001209,洪兴股份,17.550,16.9,刚启动(拉升初期),7.88,74.39,-0.1678,0.1391,1.3341,0.8634,1.0
603217,元利科技,26.090,54.3,刚启动(拉升初期),18.57,74.35,-0.011,0.3968,1.2688,0.8953,0.7
002476,新叶股份,4.980,30.5,刚启动(拉升初期),8.34,74.29,-0.0673,0.1769,1.4585,0.899,1.0
600257,大湖股份,5.410,26.0,刚启动(拉升初期),18.6,74.2,-0.0054,0.1417,1.3102,0.9253,0.7
688485,九州一轨,80.680,121.3,刚启动(拉升初期),21.66,74.19,0.5947,0.642,1.4712,0.8675,1.0
002346,柘中股份,22.070,97.5,形态接近(观察),25.84,74.03,0.1029,0.3146,1.515,0.9003,1.0
603095,越剑智能,14.810,38.2,刚启动(拉升初期),17.47,74.0,-0.25,0.2274,1.5851,0.9297,1.0
688077,大地熊,28.460,32.6,刚启动(拉升初期),8.75,73.98,0.0338,0.2481,1.4223,0.8735,1.0
688505,复旦张江,8.360,59.4,刚启动(拉升初期),45.9,73.86,0.1591,0.1704,1.5045,0.9041,1.0
605066,天正电气,7.270,36.5,刚启动(拉升初期),8.45,73.82,-0.0409,0.1359,1.4019,0.8721,1.0
002679,福建金森,9.150,21.6,刚启动(拉升初期),12.4,73.76,-0.0529,0.1159,1.1831,0.8742,0.7
002552,宝鼎科技,55.210,203.5,刚启动(拉升初期),18.51,73.75,-0.0266,0.5428,1.3544,0.8238,1.0
688621,阳光诺和,66.620,74.6,刚启动(拉升初期),37.02,73.75,0.276,0.1588,1.4462,0.8829,1.0
688589,力合微,19.580,28.5,刚启动(拉升初期),8.27,73.71,-0.084,0.2074,1.5327,0.9068,1.0
300865,大宏立,29.440,18.3,刚启动(拉升初期),15.81,73.69,0.0502,0.41,1.4399,0.8597,1.0
300883,龙利得,6.540,21.6,刚启动(拉升初期),8.58,73.68,-0.0091,0.2749,1.1463,0.9217,0.4
300845,捷安高科,12.270,18.2,刚启动(拉升初期),7.94,73.65,-0.1554,0.248,1.2016,0.9416,0.4
001207,联科科技,16.850,49.3,刚启动(拉升初期),8.27,73.62,-0.0839,0.1632,1.5073,0.8997,1.0
003031,中瓷电子,136.540,464.4,刚启动(拉升初期),12.64,73.54,0.0054,0.3662,1.3781,0.9136,0.7
603029,天鹅股份,15.890,19.3,刚启动(拉升初期),12.32,73.44,-0.0725,0.1595,1.2486,0.8842,0.7
688807,优迅股份,329.530,52.7,刚启动(拉升初期),17.96,73.36,-0.1509,0.4269,1.5412,0.884,1.0
000705,浙江震元,6.930,19.5,刚启动(拉升初期),12.45,73.31,-0.0402,0.0896,1.3861,0.8582,1.0
002870,香山股份,47.870,62.1,刚启动(拉升初期),26.39,73.29,0.1898,0.2276,1.5772,0.9094,1.0
603578,三星新材,13.570,24.5,刚启动(拉升初期),8.21,73.2,-0.0983,0.1933,1.4784,0.877,1.0
