代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
002888,惠威科技,17.780,13.3,形态接近(观察),8.5,51.81,-0.0289,0.1189,1.9076,0.7417,0.0
603339,四方科技,13.920,43.1,形态接近(观察),16.7,51.8,0.0969,0.1867,2.0026,0.7673,0.0
600367,红星发展,34.680,111.7,形态接近(观察),8.93,51.62,0.0804,0.1119,2.3953,0.6501,1.0
301033,迈普医学,56.820,32.0,形态接近(观察),51.61,11.09,0.1421,-0.0091,2.7327,0.7974,0.7
600691,潞化科技,2.560,60.8,形态接近(观察),8.41,51.58,-0.0519,0.0894,2.2823,0.6887,0.7
600531,豫光金铅,13.900,168.1,形态接近(观察),8.82,51.54,0.0506,0.1891,2.1683,0.7159,0.4
603538,美诺华,28.510,96.1,形态接近(观察),16.79,51.52,-0.3676,0.0289,2.3671,0.7212,0.7
603819,神力股份,13.620,29.7,形态接近(观察),24.26,51.49,0.0844,0.1947,2.2949,0.7564,0.4
301239,普瑞眼科,35.000,49.7,形态接近(观察),15.22,51.47,-0.0942,0.1279,2.2877,0.7591,0.4
600229,城市传媒,5.100,33.7,形态接近(观察),8.24,51.45,-0.0909,0.0782,2.0817,0.7946,0.0
301005,超捷股份,73.010,134.4,形态接近(观察),9.95,51.34,-0.4872,0.1042,2.6289,0.7217,1.0
301310,鑫宏业,52.620,51.3,形态接近(观察),51.07,6.65,0.5642,-0.1126,2.1764,0.7623,0.0
600076,康欣新材,3.090,41.5,形态接近(观察),8.11,51.05,-0.1197,0.1319,2.1892,0.8154,0.0
600783,鲁信创投,17.100,127.3,形态接近(观察),7.78,51.05,-0.1888,0.1601,2.4911,0.7387,0.7
600107,*ST尔雅,5.780,20.8,形态接近(观察),8.39,51.05,-0.0556,0.0784,2.5745,0.7738,0.7
600371,万向德农,7.740,22.6,形态接近(观察),18.76,51.02,0.0348,0.2113,2.287,0.6906,0.6
603886,元祖股份,12.090,29.0,形态接近(观察),9.18,50.94,0.1514,0.2224,2.5411,0.6723,1.0
001202,炬申股份,13.670,16.0,形态接近(观察),18.12,50.87,-0.1181,0.054,2.0673,0.7774,0.0
600250,南京商旅,9.150,28.6,形态接近(观察),15.56,50.81,-0.0151,0.1701,2.7338,0.7376,1.0
603061,金海通,365.990,318.4,形态接近(观察),29.93,50.79,0.2406,0.1875,2.3016,0.7417,0.4
600547,XD山东黄,37.050,1339.2,形态接近(观察),19.62,50.77,0.2833,0.4013,2.5837,0.6685,1.0
301009,可靠股份,9.030,13.6,形态接近(观察),12.37,50.74,-0.0594,0.1039,2.1429,0.7948,0.0
600577,精达股份,8.660,193.3,形态接近(观察),10.99,50.69,-0.3338,0.1896,2.4796,0.7233,0.7
301149,隆华新材,7.800,26.5,形态接近(观察),7.05,50.63,-0.3247,0.0894,2.347,0.7614,0.4
300139,晓程科技,53.680,125.4,形态接近(观察),20.22,50.57,0.2142,0.3504,2.1612,0.6765,0.4
600794,保税科技,3.150,37.8,形态接近(观察),12.53,50.53,-0.0217,0.043,2.3319,0.6834,0.7
600110,诺德股份,10.740,186.4,形态接近(观察),7.96,50.48,-0.1517,0.1462,2.1856,0.6987,0.4
600716,凤凰股份,3.530,33.0,形态接近(观察),8.43,50.42,-0.0459,0.1171,2.1365,0.7834,0.0
300135,宝利国际,3.380,31.2,形态接近(观察),12.46,50.33,-0.0398,0.0799,2.2721,0.7299,0.4
600130,波导股份,4.330,32.5,形态接近(观察),8.1,50.22,-0.1217,0.1609,2.1397,0.7757,0.0
002841,视源股份,49.150,256.2,形态接近(观察),50.1,41.32,0.3451,0.0685,2.603,0.7751,0.4
600831,广电网络,3.370,24.0,形态接近(观察),8.16,50.05,-0.1085,0.1783,2.1935,0.7879,0.0
603290,斯达半导,97.960,234.6,形态接近(观察),7.53,50.03,-0.2389,0.1541,2.5517,0.6588,1.0
